STATUS | wrapper  | main    | 2023/10/31 09:44:20.318 | --> Wrapper Started as Daemon
STATUS | wrapper  | main    | 2023/10/31 09:44:20.318 | Java Service Wrapper Professional Edition 64-bit 3.5.46
STATUS | wrapper  | main    | 2023/10/31 09:44:20.318 |   Copyright (C) 1999-2021 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2023/10/31 09:44:20.318 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2023/10/31 09:44:20.318 |   Licensed to SAP SE for hybris Platform
STATUS | wrapper  | main    | 2023/10/31 09:44:20.318 | 
STATUS | wrapper  | main    | 2023/10/31 09:44:20.566 | Launching a JVM...
INFO   | jvm 1    | main    | 2023/10/31 09:44:20.767 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | out 31, 2023 9:44:21 AM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | INFO: Initializing ProtocolHandler ["http-nio-9001"]
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | out 31, 2023 9:44:21 AM org.apache.catalina.core.StandardService initInternal
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | SEVERE: Failed to initialize connector [Connector[HTTP/1.1-9001]]
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | org.apache.catalina.LifecycleException: Protocol handler initialization failed
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.connector.Connector.initInternal(Connector.java:1075)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.util.LifecycleBase.init(LifecycleBase.java:136)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.core.StandardService.initInternal(StandardService.java:559)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.util.LifecycleBase.init(LifecycleBase.java:136)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.core.StandardServer.initInternal(StandardServer.java:857)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.util.LifecycleBase.init(LifecycleBase.java:136)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.startup.Catalina.load(Catalina.java:646)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.startup.Catalina.load(Catalina.java:669)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.startup.Bootstrap.load(Bootstrap.java:307)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.apache.catalina.startup.Bootstrap.main(Bootstrap.java:477)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/java.lang.reflect.Method.invoke(Method.java:568)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:349)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/java.lang.Thread.run(Thread.java:833)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | Caused by: java.net.BindException: Address already in use
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/sun.nio.ch.Net.bind0(Native Method)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/sun.nio.ch.Net.bind(Net.java:555)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/sun.nio.ch.ServerSocketChannelImpl.netBind(ServerSocketChannelImpl.java:337)
INFO   | jvm 1    | main    | 2023/10/31 09:44:21.271 | 	at java.base/sun.nio.ch.ServerSocketChannelImpl.bind(ServerSocketChannelImpl.java:294)
